"No.","Time","Source","Destination","Protocol","Length","Info"
"131","1.016990","10.111.196.155","10.111.196.144","DNS","77","Standard query 0xf94c AAAA portal.office.com"
"132","1.017416","10.111.196.155","10.111.196.144","DNS","77","Standard query 0x6f91 A portal.office.com"
"133","1.018068","10.111.196.155","10.111.196.144","DNS","78","Standard query 0x53e8 HTTPS outlook.office.com"
"134","1.018496","10.111.196.155","10.111.196.144","DNS","78","Standard query 0xa9c6 AAAA outlook.office.com"
"135","1.018924","10.111.196.155","10.111.196.144","DNS","78","Standard query 0x65dc A outlook.office.com"
"136","1.019416","10.111.196.155","10.111.196.144","DNS","85","Standard query 0x24f6 HTTPS login.microsoftonline.com"
"137","1.019758","10.111.196.155","10.111.196.144","DNS","85","Standard query 0xba23 AAAA login.microsoftonline.com"
"138","1.020157","10.111.196.155","10.111.196.144","DNS","85","Standard query 0xf617 A login.microsoftonline.com"
"139","1.023993","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","628","Application Data"
"140","1.023993","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=24895 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 143]"
"141","1.024140","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2620:1ec:4::156","TCP","74","61098  >  443 [ACK] Seq=2487 Ack=26275 Win=255 Len=0"
"142","1.030547","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=26275 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 143]"
"143","1.030547","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","1385","Application Data"
"144","1.030547","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","155","Application Data"
"145","1.030547","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=29047 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 147]"
"146","1.030547","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","443  >  61098 [ACK] Seq=30427 Ack=2487 Win=16383 Len=1380 [TCP PDU reassembled in 147]"
"147","1.030547","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","1454","Application Data"
"148","1.030709","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2620:1ec:4::156","TCP","74","61098  >  443 [ACK] Seq=2487 Ack=33187 Win=255 Len=0"
"149","1.031342","2620:1ec:4::156","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TLSv1.2","1454","Application Data"
